satisfaction,satisfaction_score,productive,productive_ai,unproductive,exercise,media,sleep,tech,people
Good day,3,8.0,7.0,6.0,No,Yes,Yes,Yes,No
Good day,3,6.0,4.0,6.0,Yes,No,Yes,No,No
Okay day,2,7.0,3.0,3.0,Yes,No,Yes,No,No
Good day,3,7.0,2.0,5.0,No,No,Yes,Yes,Yes
Okay day,2,5.0,3.0,5.0,No,No,Yes,Yes,Yes
Not great day,1,4.0,0.0,8.0,Yes,No,Yes,No,No
Incredible day,4,8.0,7.0,1.0,Yes,No,Yes,Yes,Yes
Incredible day,4,8.0,6.0,2.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,7.0,2.0,Yes,Yes,Yes,Yes,Yes
Good day,3,8.0,7.0,3.0,No,No,Yes,Yes,Yes
Good day,3,8.0,4.0,1.0,Yes,No,Yes,Yes,Yes
Good day,3,5.0,4.0,8.0,Yes,No,Yes,Yes,Yes
Okay day,2,5.0,1.0,4.0,Yes,No,Yes,No,No
Okay day,2,7.0,7.0,2.0,No,No,Yes,No,No
Not great day,1,3.0,0.0,5.0,No,No,Yes,No,Yes
Good day,3,6.0,4.0,7.0,No,No,Yes,No,Yes
Good day,3,7.0,3.0,6.0,No,No,Yes,No,Yes
Good day,3,8.0,8.0,3.0,No,No,Yes,Yes,Yes
Incredible day,4,4.0,4.0,8.0,No,No,Yes,Yes,Yes
Good day,3,7.0,5.0,5.0,No,No,Yes,Yes,Yes
Good day,3,4.0,0.0,5.0,Yes,No,Yes,Yes,Yes
Okay day,2,6.0,2.0,5.0,No,No,No,No,Yes
Incredible day,4,8.0,7.0,4.0,Yes,No,Yes,Yes,No
Incredible day,4,8.0,7.0,0.0,Yes,No,Yes,Yes,No
Incredible day,4,8.0,7.0,2.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,7.0,1.0,No,No,No,Yes,No
Okay day,2,8.0,6.0,4.0,Yes,No,No,No,Yes
Okay day,2,6.0,2.0,5.0,Yes,No,No,No,Yes
Not great day,1,2.0,1.0,8.0,No,No,No,No,No
Okay day,2,7.0,1.0,2.0,Yes,No,No,No,No
Okay day,2,8.0,4.0,3.0,Yes,No,No,No,No
Good day,3,7.0,5.0,5.0,No,No,No,No,No
Good day,3,7.0,5.0,5.0,Yes,No,No,No,No
Good day,3,8.0,1.0,3.0,Yes,No,No,Yes,No
Good day,3,7.0,0.0,3.0,Yes,Yes,No,No,Yes
Good day,3,6.0,1.0,4.0,Yes,No,No,No,Yes
Good day,3,6.0,1.0,3.0,Yes,No,No,No,Yes
Okay day,2,7.0,1.0,4.0,Yes,No,No,No,Yes
Good day,3,6.0,1.0,4.0,Yes,No,No,Yes,No
Incredible day,4,6.0,1.0,4.0,Yes,No,No,Yes,No
Not great day,1,0.0,0.0,8.0,Yes,No,Yes,No,Yes
Good day,3,4.0,0.0,8.0,Yes,No,Yes,No,Yes
Good day,3,5.0,1.0,6.0,Yes,No,Yes,No,Yes
Good day,3,8.0,4.0,3.0,Yes,No,Yes,Yes,No
Good day,3,8.0,3.0,3.0,Yes,No,Yes,No,Yes
Good day,3,8.0,6.0,3.0,Yes,No,Yes,No,Yes
Good day,3,8.0,5.0,4.0,Yes,No,Yes,No,Yes
Okay day,2,8.0,2.0,1.0,Yes,No,Yes,Yes,Yes
Okay day,2,5.0,0.0,5.0,Yes,No,Yes,No,Yes
Incredible day,4,8.0,0.0,4.0,Yes,Yes,Yes,Yes,Yes
Good day,3,8.0,5.0,3.0,Yes,No,Yes,Yes,No
Incredible day,4,8.0,5.0,3.0,Yes,No,Yes,No,No
Incredible day,4,7.0,5.0,3.0,Yes,No,Yes,No,Yes
Good day,3,8.0,7.0,2.0,Yes,No,Yes,No,Yes
Okay day,2,7.0,4.0,2.0,Yes,No,Yes,Yes,Yes
Okay day,2,3.0,2.0,5.0,No,Yes,No,No,Yes
Okay day,2,6.0,3.0,5.0,Yes,No,No,No,Yes
Good day,3,8.0,4.0,1.0,Yes,No,No,Yes,Yes
Not great day,1,6.0,4.0,8.0,Yes,No,No,No,Yes
Good day,3,8.0,5.0,4.0,Yes,No,No,No,Yes
Good day,3,8.0,5.0,3.0,Yes,No,No,No,No
Incredible day,4,8.0,6.0,2.0,Yes,No,No,Yes,No
Good day,3,8.0,5.0,2.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,0.0,4.0,Yes,No,Yes,No,Yes
Good day,3,6.0,4.0,2.0,Yes,No,No,Yes,Yes
Okay day,2,8.0,4.0,4.0,Yes,No,No,No,Yes
Not great day,1,8.0,4.0,8.0,No,No,No,No,No
Not great day,1,1.0,1.0,8.0,No,No,No,No,No
Not great day,1,4.0,2.0,6.0,Yes,No,No,No,No
Not great day,1,5.0,2.0,8.0,No,No,No,No,No
Okay day,2,5.0,1.0,5.0,Yes,No,No,No,No
Good day,3,7.0,6.0,4.0,No,No,No,No,No
Okay day,2,6.0,4.0,7.0,Yes,No,No,No,No
Incredible day,4,8.0,6.0,4.0,Yes,No,No,No,No
Good day,3,7.0,4.0,3.0,Yes,No,No,No,Yes
Okay day,2,7.0,1.0,5.0,Yes,No,No,No,Yes
Incredible day,4,8.0,8.0,4.0,Yes,No,Yes,Yes,Yes
Okay day,2,6.0,2.0,2.0,No,No,Yes,No,Yes
Good day,3,8.0,4.0,3.0,Yes,No,Yes,Yes,Yes
Okay day,2,8.0,4.0,4.0,Yes,No,Yes,No,Yes
Okay day,2,4.0,4.0,8.0,No,No,Yes,No,Yes
Good day,3,7.0,5.0,4.0,Yes,No,Yes,No,No
Good day,3,8.0,5.0,3.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,3.0,4.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,5.0,3.0,No,No,Yes,Yes,Yes
Okay day,2,5.0,4.0,6.0,Yes,No,Yes,No,Yes
Terrible day,0,2.0,1.0,8.0,No,No,No,No,No
Okay day,2,4.0,2.0,3.0,Yes,No,No,No,No
Good day,3,4.0,2.0,8.0,No,No,No,No,Yes
Okay day,2,5.0,3.0,6.0,Yes,No,No,No,No
Good day,3,2.0,0.0,8.0,No,No,No,No,Yes
Okay day,2,4.0,1.0,8.0,Yes,No,No,No,Yes
Okay day,2,4.0,3.0,8.0,No,No,No,No,Yes
Good day,3,7.0,5.0,3.0,Yes,No,No,No,No
Good day,3,5.0,3.0,7.0,No,No,No,No,Yes
Good day,3,5.0,3.0,7.0,Yes,No,No,No,Yes
Incredible day,4,8.0,3.0,3.0,Yes,No,No,Yes,Yes
Good day,3,4.0,4.0,8.0,No,No,No,No,No
Good day,3,6.0,0.0,7.0,Yes,No,No,No,No
Good day,3,6.0,0.0,3.0,Yes,No,No,Yes,Yes
Incredible day,4,8.0,3.0,6.0,Yes,No,Yes,Yes,Yes
Good day,3,7.0,1.0,3.0,Yes,Yes,Yes,Yes,No
Good day,3,6.0,0.0,5.0,Yes,No,Yes,No,Yes
Good day,3,8.0,0.0,3.0,Yes,No,Yes,Yes,Yes
Good day,3,5.0,0.0,4.0,Yes,No,Yes,No,Yes
Okay day,2,7.5,3.5,8.0,No,No,Yes,No,No
Not great day,1,5.0,1.0,7.5,Yes,No,Yes,No,No
Good day,3,5.0,3.0,4.0,Yes,No,No,Yes,No
Good day,3,6.0,5.0,7.5,No,No,Yes,No,Yes
Good day,3,4.0,1.5,8.0,No,No,Yes,No,Yes
Good day,3,6.0,3.0,6.0,No,No,Yes,No,Yes
Not great day,1,0.0,0.0,8.0,No,No,No,No,No
Okay day,2,2.0,0.0,6.0,No,No,No,No,Yes
Good day,3,6.0,2.5,3.5,Yes,No,No,Yes,No
Good day,3,6.0,3.5,4.5,No,No,No,No,Yes
Good day,3,8.0,4.5,5.0,Yes,No,No,Yes,Yes
Incredible day,4,8.0,4.5,2.0,Yes,No,No,Yes,Yes
Good day,3,7.0,5.5,5.0,No,No,No,No,Yes
Okay day,2,1.0,0.0,6.5,No,No,No,No,No
Good day,3,7.0,0.0,7.0,Yes,No,Yes,No,Yes
Incredible day,4,8.0,8.0,2.0,No,No,No,Yes,No
Okay day,2,6.0,4.0,2.5,No,No,No,Yes,Yes
Incredible day,4,8.0,5.5,2.0,Yes,No,Yes,Yes,Yes
Good day,3,8.0,6.0,3.0,Yes,No,No,Yes,No
Good day,3,7.0,4.0,3.0,No,No,No,No,Yes
Good day,3,6.5,1.0,5.5,Yes,No,No,No,Yes
Good day,3,3.5,2.0,3.5,No,No,No,Yes,No
Okay day,2,8.0,4.0,3.0,Yes,No,Yes,Yes,Yes
Good day,3,7.0,2.0,3.0,Yes,No,No,No,Yes
Okay day,2,6.5,5.0,3.0,No,No,No,No,No
Okay day,2,4.0,0.0,8.0,No,No,No,No,Yes
Okay day,2,4.5,1.5,5.5,Yes,No,No,No,Yes
Not great day,1,3.0,1.0,7.0,Yes,No,Yes,No,Yes
Good day,3,8.0,5.5,3.5,Yes,No,Yes,No,Yes
Good day,3,5.0,2.5,5.5,Yes,No,Yes,No,No
Good day,3,8.0,7.0,3.0,No,No,Yes,Yes,Yes
Good day,3,7.5,4.5,3.5,Yes,No,Yes,No,No
Good day,3,8.0,7.0,5.0,No,No,Yes,Yes,Yes
Good day,3,6.0,0.5,7.0,Yes,No,Yes,No,Yes
Good day,3,3.0,0.0,8.0,No,No,Yes,No,No
Good day,3,6.5,5.0,5.0,No,No,Yes,No,Yes
Okay day,2,4.0,1.5,6.0,No,No,Yes,No,Yes
Okay day,2,7.0,4.0,3.5,Yes,No,Yes,Yes,No
Good day,3,3.0,2.0,6.0,No,No,Yes,No,Yes
Okay day,2,3.0,0.0,7.0,No,No,Yes,No,Yes
Incredible day,4,4.0,0.0,2.0,Yes,No,Yes,Yes,Yes
Not great day,1,1.0,0.0,8.0,No,No,No,No,Yes
Not great day,1,1.0,0.0,8.0,No,No,No,No,No
Okay day,2,3.0,3.0,6.0,No,No,No,No,No
Not great day,1,2.5,2.0,7.5,No,No,No,No,No
Good day,3,7.0,3.0,3.0,No,No,No,No,No
Okay day,2,1.5,1.0,6.5,No,No,No,No,No
Good day,3,6.5,6.5,4.0,No,No,No,No,No
Good day,3,4.5,2.0,6.0,No,No,No,No,No
Okay day,2,3.0,0.5,8.0,No,No,No,No,Yes
Good day,3,6.0,3.0,6.0,No,No,No,No,Yes
Good day,3,7.0,4.5,5.0,No,No,No,No,No
Incredible day,4,5.5,5.0,6.5,No,No,No,No,No
Incredible day,4,7.0,6.0,3.5,No,No,No,Yes,Yes
Good day,3,5.0,2.0,5.0,No,No,No,No,Yes
Not great day,1,3.0,1.5,8.0,No,No,No,No,Yes
Okay day,2,4.0,3.0,6.0,No,No,No,No,No
Good day,3,7.5,4.5,3.0,No,No,No,Yes,No
Incredible day,4,8.0,6.0,2.0,No,No,Yes,Yes,Yes
Incredible day,4,8.0,8.0,0.5,No,No,Yes,Yes,Yes
Incredible day,4,8.0,0.0,0.0,Yes,No,Yes,Yes,Yes
Incredible day,4,8.0,1.0,0.0,No,No,No,Yes,Yes
Incredible day,4,8.0,0.0,3.0,No,No,No,Yes,Yes
Good day,3,6.0,0.0,2.0,No,No,Yes,Yes,Yes
Not great day,1,4.0,2.5,5.0,No,No,No,No,No
Not great day,1,5.5,3.5,6.0,No,No,No,No,No
Okay day,2,4.0,3.0,6.0,No,No,No,No,Yes
Okay day,2,8.0,4.5,3.0,No,No,No,No,Yes
Incredible day,4,8.0,5.5,1.0,No,No,No,Yes,Yes
Okay day,2,3.0,0.0,8.0,No,No,No,No,Yes
Good day,3,8.0,6.5,3.0,No,No,No,Yes,Yes
Good day,3,8.0,5.5,4.0,No,No,No,No,Yes
Good day,3,7.0,6.0,2.0,No,No,No,No,No
Not great day,1,5.0,2.0,6.0,No,No,No,No,Yes
Good day,3,7.0,4.5,4.0,No,No,No,No,Yes
Okay day,2,4.0,0.0,6.0,Yes,No,No,No,Yes
Good day,3,8.0,2.5,4.5,No,No,No,No,Yes
Good day,3,5.0,1.5,1.5,Yes,No,No,Yes,Yes
Good day,3,6.0,3.0,4.5,No,No,No,Yes,Yes
Terrible day,0,0.0,0.0,8.0,No,No,No,No,No
Terrible day,0,4.0,3.0,8.0,No,No,No,No,Yes
Good day,3,8.0,4.0,8.0,No,No,Yes,No,Yes
Good day,3,3.5,2.0,4.5,No,No,Yes,No,No
Good day,3,6.0,1.5,4.5,No,No,Yes,No,Yes
Okay day,2,4.0,4.0,6.0,No,No,Yes,No,Yes
Incredible day,4,8.0,4.5,1.5,Yes,No,Yes,Yes,Yes
Okay day,2,7.0,1.5,4.0,Yes,No,Yes,No,Yes
Good day,3,8.0,2.5,3.0,Yes,No,Yes,No,Yes
Good day,3,5.5,2.5,4.5,Yes,No,Yes,Yes,Yes
Okay day,2,5.0,2.5,3.0,Yes,No,Yes,No,Yes
Not great day,1,3.0,0.0,8.0,Yes,Yes,Yes,No,Yes
Not great day,1,4.0,1.0,7.0,No,No,No,No,Yes
Not great day,1,5.0,3.0,7.0,No,No,No,No,No
Okay day,2,8.0,4.0,5.0,No,No,No,No,Yes
Incredible day,4,5.5,5.0,6.0,No,No,No,No,Yes
Okay day,2,5.0,3.0,4.5,No,No,No,No,Yes
Okay day,2,4.0,1.5,6.5,Yes,No,No,No,Yes
Incredible day,4,8.0,5.0,2.0,Yes,No,No,Yes,Yes
Good day,3,6.0,3.0,3.0,No,No,No,No,Yes
Okay day,2,7.0,4.5,5.5,No,No,No,No,Yes
Good day,3,7.5,6.5,3.0,Yes,No,No,Yes,Yes
Okay day,2,6.0,4.0,6.0,No,No,No,No,No
Okay day,2,4.5,2.0,7.5,Yes,No,No,No,Yes
Terrible day,0,1.0,0.0,8.0,No,No,No,No,No
Terrible day,0,1.0,0.0,8.0,No,No,No,No,Yes
Okay day,2,5.0,2.5,6.5,No,No,No,No,No
Good day,3,6.5,5.5,6.0,No,No,No,No,No
Good day,3,7.0,4.5,3.0,No,No,No,Yes,Yes
Good day,3,7.0,3.5,4.5,Yes,No,No,No,Yes
Good day,3,8.0,4.0,1.0,Yes,No,No,Yes,Yes
Good day,3,5.0,0.0,4.5,Yes,No,No,No,Yes
Good day,3,5.0,1.0,4.5,Yes,No,No,No,Yes
Good day,3,5.0,5.0,5.0,No,No,No,Yes,No
Incredible day,4,8.0,8.0,2.5,Yes,No,Yes,Yes,Yes
Incredible day,4,8.0,4.5,0.5,Yes,No,Yes,Yes,No
Incredible day,4,8.0,8.0,0.5,No,No,Yes,Yes,Yes
Incredible day,4,8.0,0.0,0.0,Yes,Yes,Yes,Yes,Yes
Good day,3,8.0,0.0,0.0,Yes,Yes,No,Yes,Yes
Good day,3,8.0,0.0,0.5,Yes,Yes,Yes,Yes,Yes
Good day,3,7.5,2.0,1.0,Yes,Yes,Yes,Yes,Yes
Good day,3,8.0,5.5,3.0,No,No,Yes,No,No
Good day,3,8.0,6.5,3.0,No,No,Yes,Yes,Yes
